# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	angle_w2	x_iscs	y_iscs	z_iscs	angle_iscs
-2166.45959	1604.78286	137.00000	2599.96436	-16.38649	0.00000	0.30000	2600.00000	-0.00000	0.00000	0.00000
-2182.84263	1616.25439	137.00000	2619.96409	-16.28177	0.00000	0.30000	2620.00000	-0.00000	0.00000	0.00000
-2199.22567	1627.72592	137.00000	2639.96381	-16.17706	0.00000	0.30000	2640.00000	-0.00000	0.00000	0.00000
-2215.60871	1639.19745	137.00000	2659.96354	-16.07234	0.00000	0.30000	2660.00000	0.00000	0.00000	0.00000
-2231.99175	1650.66898	137.00000	2679.96326	-15.96762	0.00000	0.30000	2680.00000	0.00000	0.00000	0.00000
-2248.37479	1662.14051	137.00000	2699.96299	-15.86290	0.00000	0.30000	2700.00000	0.00000	0.00000	0.00000
-2264.75783	1673.61203	137.00000	2719.96271	-15.75818	0.00000	0.30000	2720.00000	0.00000	0.00000	0.00000
-2281.14087	1685.08356	137.00000	2739.96244	-15.65346	0.00000	0.30000	2740.00000	-0.00000	0.00000	0.00000
-2297.52391	1696.55509	137.00000	2759.96217	-15.54874	0.00000	0.30000	2760.00000	-0.00000	0.00000	0.00000
-2313.90695	1708.02662	137.00000	2779.96189	-15.44402	0.00000	0.30000	2780.00000	0.00000	0.00000	0.00000
-2330.29000	1719.49815	137.00000	2799.96162	-15.33930	0.00000	0.30000	2800.00000	-0.00000	0.00000	0.00000
-2346.67304	1730.96968	137.00000	2819.96134	-15.23458	0.00000	0.30000	2820.00000	-0.00000	0.00000	0.00000
-2363.05608	1742.44121	137.00000	2839.96107	-15.12986	0.00000	0.30000	2840.00000	-0.00000	0.00000	0.00000
-2379.43912	1753.91274	137.00000	2859.96080	-15.02514	0.00000	0.30000	2860.00000	-0.00000	0.00000	0.00000
-2395.82216	1765.38426	137.00000	2879.96052	-14.92042	0.00000	0.30000	2880.00000	0.00000	0.00000	0.00000
-2412.20520	1776.85579	137.00000	2899.96025	-14.81570	0.00000	0.30000	2900.00000	0.00000	0.00000	0.00000
-2428.58824	1788.32732	137.00000	2919.95997	-14.71099	0.00000	0.30000	2920.00000	0.00000	0.00000	0.00000
-2444.97128	1799.79885	137.00000	2939.95970	-14.60627	0.00000	0.30000	2940.00000	0.00000	0.00000	0.00000
-2461.35432	1811.27038	137.00000	2959.95943	-14.50155	0.00000	0.30000	2960.00000	0.00000	0.00000	0.00000
-2477.73736	1822.74191	137.00000	2979.95915	-14.39683	0.00000	0.30000	2980.00000	0.00000	0.00000	0.00000
-2494.12040	1834.21344	137.00000	2999.95888	-14.29211	0.00000	0.30000	3000.00000	-0.00000	0.00000	0.00000
-2510.50345	1845.68497	137.00000	3019.95860	-14.18739	0.00000	0.30000	3020.00000	-0.00000	0.00000	0.00000
-2526.88649	1857.15649	137.00000	3039.95833	-14.08267	0.00000	0.30000	3040.00000	-0.00000	0.00000	0.00000
-2543.26953	1868.62802	137.00000	3059.95805	-13.97795	0.00000	0.30000	3060.00000	-0.00000	0.00000	0.00000
-2559.65257	1880.09955	137.00000	3079.95778	-13.87323	0.00000	0.30000	3080.00000	-0.00000	0.00000	0.00000
-2576.03561	1891.57108	137.00000	3099.95751	-13.76851	0.00000	0.30000	3100.00000	-0.00000	0.00000	0.00000
-2592.41865	1903.04261	137.00000	3119.95723	-13.66379	0.00000	0.30000	3120.00000	0.00000	0.00000	0.00000
-2608.80169	1914.51414	137.00000	3139.95696	-13.55907	0.00000	0.30000	3140.00000	0.00000	0.00000	0.00000
-2625.18473	1925.98567	137.00000	3159.95668	-13.45435	0.00000	0.30000	3160.00000	0.00000	0.00000	0.00000
-2641.56777	1937.45720	137.00000	3179.95641	-13.34964	0.00000	0.30000	3180.00000	0.00000	0.00000	0.00000
-2657.95081	1948.92872	137.00000	3199.95614	-13.24492	0.00000	0.30000	3200.00000	0.00000	0.00000	0.00000
-2674.33385	1960.40025	137.00000	3219.95586	-13.14020	0.00000	0.30000	3220.00000	0.00000	0.00000	0.00000
-2690.71689	1971.87178	137.00000	3239.95559	-13.03548	0.00000	0.30000	3240.00000	-0.00000	0.00000	0.00000
-2707.09994	1983.34331	137.00000	3259.95531	-12.93076	0.00000	0.30000	3260.00000	-0.00000	0.00000	0.00000
-2723.48298	1994.81484	137.00000	3279.95504	-12.82604	0.00000	0.30000	3280.00000	-0.00000	0.00000	0.00000
-2739.86602	2006.28637	137.00000	3299.95476	-12.72132	0.00000	0.30000	3300.00000	-0.00000	0.00000	0.00000
-2756.24906	2017.75790	137.00000	3319.95449	-12.61660	0.00000	0.30000	3320.00000	-0.00000	0.00000	0.00000
-2772.63210	2029.22943	137.00000	3339.95422	-12.51188	0.00000	0.30000	3340.00000	0.00000	0.00000	0.00000
-2789.01514	2040.70095	137.00000	3359.95394	-12.40716	0.00000	0.30000	3360.00000	0.00000	0.00000	0.00000
-2805.39818	2052.17248	137.00000	3379.95367	-12.30244	0.00000	0.30000	3380.00000	-0.00000	0.00000	0.00000
-2821.78122	2063.64401	137.00000	3399.95339	-12.19772	0.00000	0.30000	3400.00000	-0.00000	0.00000	0.00000
-2838.16426	2075.11554	137.00000	3419.95312	-12.09300	0.00000	0.30000	3420.00000	-0.00000	0.00000	0.00000
-2854.54730	2086.58707	137.00000	3439.95285	-11.98828	0.00000	0.30000	3440.00000	-0.00000	0.00000	0.00000
-2870.93034	2098.05860	137.00000	3459.95257	-11.88357	0.00000	0.30000	3460.00000	-0.00000	0.00000	0.00000
-2887.31339	2109.53013	137.00000	3479.95230	-11.77885	0.00000	0.30000	3480.00000	0.00000	0.00000	0.00000
-2903.69643	2121.00165	137.00000	3499.95202	-11.67413	0.00000	0.30000	3500.00000	-0.00000	0.00000	0.00000
-2920.07947	2132.47318	137.00000	3519.95175	-11.56941	0.00000	0.30000	3520.00000	-0.00000	0.00000	0.00000
-2936.46251	2143.94471	137.00000	3539.95147	-11.46469	0.00000	0.30000	3540.00000	-0.00000	0.00000	0.00000
-2952.84555	2155.41624	137.00000	3559.95120	-11.35997	0.00000	0.30000	3560.00000	-0.00000	0.00000	0.00000
-2969.22859	2166.88777	137.00000	3579.95093	-11.25525	0.00000	0.30000	3580.00000	0.00000	0.00000	0.00000
-2985.61163	2178.35930	137.00000	3599.95065	-11.15053	0.00000	0.30000	3600.00000	0.00000	0.00000	0.00000
-3001.99467	2189.83083	137.00000	3619.95038	-11.04581	0.00000	0.30000	3620.00000	0.00000	0.00000	0.00000
-3018.37771	2201.30236	137.00000	3639.95010	-10.94109	0.00000	0.30000	3640.00000	-0.00000	0.00000	0.00000
-3034.76075	2212.77388	137.00000	3659.94983	-10.83637	0.00000	0.30000	3660.00000	-0.00000	0.00000	0.00000
-3051.14379	2224.24541	137.00000	3679.94956	-10.73165	0.00000	0.30000	3680.00000	-0.00000	0.00000	0.00000
-3067.52684	2235.71694	137.00000	3699.94928	-10.62693	0.00000	0.30000	3700.00000	0.00000	0.00000	0.00000
-3083.90988	2247.18847	137.00000	3719.94901	-10.52221	0.00000	0.30000	3720.00000	-0.00000	0.00000	0.00000
-3100.29292	2258.66000	137.00000	3739.94873	-10.41750	0.00000	0.30000	3740.00000	-0.00000	0.00000	0.00000
-3116.67596	2270.13153	137.00000	3759.94846	-10.31278	0.00000	0.30000	3760.00000	-0.00000	0.00000	0.00000
-3133.05900	2281.60306	137.00000	3779.94818	-10.20806	0.00000	0.30000	3780.00000	-0.00000	0.00000	0.00000
-3149.44204	2293.07459	137.00000	3799.94791	-10.10334	0.00000	0.30000	3800.00000	0.00000	0.00000	0.00000
-3165.82508	2304.54611	137.00000	3819.94764	-9.99862	0.00000	0.30000	3820.00000	0.00000	0.00000	0.00000
-3182.20812	2316.01764	137.00000	3839.94736	-9.89390	0.00000	0.30000	3840.00000	0.00000	0.00000	0.00000
-3198.59116	2327.48917	137.00000	3859.94709	-9.78918	0.00000	0.30000	3860.00000	0.00000	0.00000	0.00000
-3214.97420	2338.96070	137.00000	3879.94681	-9.68446	0.00000	0.30000	3880.00000	0.00000	0.00000	0.00000
-3231.35724	2350.43223	137.00000	3899.94654	-9.57974	0.00000	0.30000	3900.00000	-0.00000	0.00000	0.00000
-3247.74028	2361.90376	137.00000	3919.94627	-9.47502	0.00000	0.30000	3920.00000	-0.00000	0.00000	0.00000
-3264.12333	2373.37529	137.00000	3939.94599	-9.37030	0.00000	0.30000	3940.00000	-0.00000	0.00000	0.00000
-3280.50637	2384.84682	137.00000	3959.94572	-9.26558	0.00000	0.30000	3960.00000	0.00000	0.00000	0.00000
-3296.88941	2396.31834	137.00000	3979.94544	-9.16086	0.00000	0.30000	3980.00000	-0.00000	0.00000	0.00000
-3313.27245	2407.78987	137.00000	3999.94517	-9.05614	0.00000	0.30000	4000.00000	-0.00000	0.00000	0.00000
-3329.65549	2419.26140	137.00000	4019.94489	-8.95143	0.00000	0.30000	4020.00000	-0.00000	0.00000	0.00000
-3346.03853	2430.73293	137.00000	4039.94462	-8.84671	0.00000	0.30000	4040.00000	-0.00000	0.00000	0.00000
-3362.42157	2442.20446	137.00000	4059.94435	-8.74199	0.00000	0.30000	4060.00000	0.00000	0.00000	0.00000
-3378.80461	2453.67599	137.00000	4079.94407	-8.63727	0.00000	0.30000	4080.00000	-0.00000	0.00000	0.00000
-3395.18765	2465.14752	137.00000	4099.94380	-8.53255	0.00000	0.30000	4100.00000	0.00000	0.00000	0.00000
-3411.57069	2476.61905	137.00000	4119.94352	-8.42783	0.00000	0.30000	4120.00000	0.00000	0.00000	0.00000
-3427.95373	2488.09057	137.00000	4139.94325	-8.32311	0.00000	0.30000	4140.00000	0.00000	0.00000	0.00000
-3444.33678	2499.56210	137.00000	4159.94298	-8.21839	0.00000	0.30000	4160.00000	-0.00000	0.00000	0.00000
-3460.71982	2511.03363	137.00000	4179.94270	-8.11367	0.00000	0.30000	4180.00000	-0.00000	0.00000	0.00000
-3477.10286	2522.50516	137.00000	4199.94243	-8.00895	0.00000	0.30000	4200.00000	-0.00000	0.00000	0.00000
-3493.48590	2533.97669	137.00000	4219.94215	-7.90423	0.00000	0.30000	4220.00000	0.00000	0.00000	0.00000
-3509.86894	2545.44822	137.00000	4239.94188	-7.79951	0.00000	0.30000	4240.00000	-0.00000	0.00000	0.00000
-3526.25198	2556.91975	137.00000	4259.94160	-7.69479	0.00000	0.30000	4260.00000	0.00000	0.00000	0.00000
-3542.63502	2568.39128	137.00000	4279.94133	-7.59007	0.00000	0.30000	4280.00000	0.00000	0.00000	0.00000
-3559.01806	2579.86280	137.00000	4299.94106	-7.48536	0.00000	0.30000	4300.00000	-0.00000	0.00000	0.00000
