# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	x_iscs	y_iscs	z_iscs
-21379.36344	15136.91222	137.00000	26099.98153	41.85704	0.00000	26100.00000	-64.80250	0.00000
-21460.81548	15194.93133	137.00000	26199.98439	41.57315	0.00000	26200.00000	-65.61000	0.00000
-21542.26466	15252.95453	137.00000	26299.98727	41.28426	0.00000	26300.00000	-66.42250	0.00000
-21623.71096	15310.98183	137.00000	26399.99018	40.99037	0.00000	26400.00000	-67.24000	0.00000
-21705.15440	15369.01323	137.00000	26499.99312	40.69147	0.00000	26500.00000	-68.06250	0.00000
-21786.59497	15427.04872	137.00000	26599.99608	40.38758	0.00000	26600.00000	-68.89000	0.00000
-21868.03267	15485.08831	137.00000	26699.99907	40.07869	0.00000	26700.00000	-69.72250	0.00000
-21949.46750	15543.13199	137.00000	26800.00208	39.76480	0.00000	26800.00000	-70.56000	0.00000
-22030.89947	15601.17977	137.00000	26900.00512	39.44591	0.00000	26900.00000	-71.40250	0.00000
-22112.32857	15659.23164	137.00000	27000.00819	39.12201	0.00000	27000.00000	-72.25000	0.00000
